"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.706688487E0,-1.006364822E-3,8.310377598E-3,1.114931107E-1
3.716708109E0,1.907348633E-4,7.113277912E-3,9.952259064E-2
3.726730805E0,2.584934235E-3,8.310377598E-3,9.832572937E-2
3.737301480E0,-1.006364822E-3,1.070457697E-2,1.007194519E-1
3.746981567E0,3.782033920E-3,1.309877634E-2,1.055078506E-1
3.756813726E0,1.387834549E-3,1.127779484E-3,8.874893188E-2
3.766905152E0,3.782033920E-3,1.309877634E-2,9.712791443E-2
3.776784980E0,1.387834549E-3,8.310377598E-3,9.832572937E-2
3.786715894E0,8.570432663E-3,8.310377598E-3,1.055078506E-1
3.796682524E0,9.767532349E-3,5.916178226E-3,1.019163132E-1
3.806664974E0,-4.597693682E-3,8.310377598E-3,9.712791443E-2
3.816660679E0,6.176233292E-3,1.549297571E-2,9.353733063E-2
3.826656782E0,-2.203464508E-3,2.324879169E-3,1.031141281E-1
3.836647987E0,1.907348633E-4,1.070457697E-2,1.007194519E-1
3.846655090E0,-1.006364822E-3,1.190167665E-2,9.712791443E-2
3.856650680E0,1.387834549E-3,1.070457697E-2,9.593105316E-2
3.866657359E0,-3.400564194E-3,2.324879169E-3,1.031141281E-1
3.876677295E0,9.767532349E-3,1.070457697E-2,1.043109894E-1
3.886687936E0,6.176233292E-3,1.309877634E-2,9.712791443E-2
3.896703295E0,1.387834549E-3,-1.266419888E-3,1.007194519E-1
3.906686898E0,9.767532349E-3,1.190167665E-2,9.353733063E-2
3.916707872E0,-3.400564194E-3,1.127779484E-3,9.353733063E-2
