"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.816660679E0,2.705447972E-1,5.710170865E-1,9.880870819E0
3.826656782E0,2.621650994E-1,5.578489900E-1,9.890447617E0
3.836647987E0,2.645592988E-1,5.662286878E-1,9.888052940E0
3.846655090E0,2.633621991E-1,5.674257874E-1,9.884461403E0
3.856650680E0,2.657563984E-1,5.662286878E-1,9.883264542E0
3.866657359E0,2.609679997E-1,5.578489900E-1,9.890447617E0
3.876677295E0,2.741360962E-1,5.662286878E-1,9.891644478E0
3.886687936E0,2.705447972E-1,5.686228871E-1,9.884461403E0
3.896703295E0,2.657563984E-1,5.542576909E-1,9.888052940E0
3.906686898E0,2.741360962E-1,5.674257874E-1,9.880870819E0
3.916707872E0,2.609679997E-1,5.566518903E-1,9.880870819E0
3.926684994E0,2.801215947E-1,5.554547906E-1,9.885659218E0
3.936669478E0,2.777273953E-1,5.602431893E-1,9.886856079E0
3.946667316E0,2.729389966E-1,5.698199868E-1,9.882067680E0
3.956657696E0,2.681505978E-1,5.626373887E-1,9.882067680E0
3.966662444E0,2.669534981E-1,5.638344884E-1,9.891644478E0
3.976658030E0,2.705447972E-1,5.566518903E-1,9.888052940E0
3.986667669E0,2.681505978E-1,5.554547906E-1,9.882067680E0
3.996662623E0,2.645592988E-1,5.614402890E-1,9.889249802E0
4.006658062E0,2.645592988E-1,5.674257874E-1,9.897629738E0
4.016688531E0,2.669534981E-1,5.626373887E-1,9.895236015E0
4.026680419E0,2.561795712E-1,5.590460896E-1,9.888052940E0
4.036671671E0,2.669534981E-1,5.662286878E-1,9.890447617E0
4.046664105E0,2.669534981E-1,5.698199868E-1,9.896432877E0
4.056669726E0,2.777273953E-1,5.650315881E-1,9.885659218E0
4.066667805E0,2.705447972E-1,5.590460896E-1,9.883264542E0
4.076686749E0,2.729389966E-1,5.662286878E-1,9.880870819E0
4.086668144E0,2.705447972E-1,5.614402890E-1,9.879673004E0
4.096670091E0,2.633621991E-1,5.614402890E-1,9.890447617E0
