"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.996733794E0,7.134721279E-1,2.231395960E0,9.624691010E0
3.006707398E0,6.500257850E-1,2.279279947E0,9.411606789E0
3.016694335E0,6.236895323E-1,2.257732153E0,9.187748909E0
3.026684669E0,5.686228871E-1,2.232593060E0,9.174580574E0
3.036675162E0,4.082113802E-1,2.268506050E0,9.408015251E0
3.046673294E0,3.878606856E-1,2.298433542E0,9.593565941E0
3.056667590E0,3.351882398E-1,2.213439465E0,9.727641106E0
3.066699431E0,5.315127969E-1,2.189497471E0,9.810241699E0
3.076688543E0,6.248866320E-1,2.161964178E0,9.878476143E0
3.086705119E0,5.482721925E-1,2.126051188E0,9.797073364E0
3.096688849E0,6.069301367E-1,2.140416384E0,9.714473724E0
3.106680156E0,5.147533417E-1,2.116474390E0,9.631873131E0
3.116842367E0,3.890577853E-1,2.105700493E0,9.545681953E0
3.126752761E0,3.483563364E-1,2.038662672E0,9.446322441E0
3.136713882E0,4.896142483E-1,1.984793186E0,9.472659111E0
3.146718423E0,4.094084799E-1,2.090138197E0,9.642647743E0
3.156732193E0,3.196259141E-1,2.221819162E0,9.767146111E0
3.166707155E0,7.134721279E-1,1.948880196E0,1.028309631E1
3.176683982E0,6.607996821E-1,1.929726601E0,1.024000072E1
3.186674107E0,7.469909191E-1,2.062604666E0,9.674968719E0
3.196701266E0,7.613561153E-1,2.014720678E0,9.512163162E0
3.206730057E0,5.123591423E-1,2.069787264E0,9.611522675E0
3.216701029E0,4.884171486E-1,2.170343876E0,9.631873131E0
3.226706977E0,7.661445141E-1,1.975216389E0,9.604340553E0
3.236689720E0,8.032546639E-1,1.798045516E0,9.648633003E0
3.246682284E0,7.206547260E-1,1.799242616E0,9.498994827E0
3.256710355E0,8.894459605E-1,1.893813491E0,9.427168846E0
3.266724428E0,9.876081944E-1,1.898601890E0,9.430760384E0
3.276730234E0,7.553706169E-1,1.908178806E0,9.744400978E0
3.286697637E0,6.596025825E-1,2.002749681E0,9.707290649E0
3.296684993E0,5.374982953E-1,2.094926596E0,9.945513725E0
3.306704574E0,7.721300721E-1,2.059013367E0,9.850942612E0
3.316688442E0,9.337386489E-1,1.850717902E0,1.011550236E1
3.326676376E0,1.284489155E0,1.731007814E0,9.915586472E0
3.336698612E0,1.690306425E0,1.654393315E0,9.813833237E0
3.346684172E0,1.686715126E0,1.470039845E0,9.962273598E0
3.356699587E0,1.662773132E0,1.320402265E0,9.916783333E0
3.366687544E0,2.068590164E0,1.419761658E0,1.025915432E1
3.376674715E0,2.256535053E0,1.510741234E0,1.089122391E1
3.386694532E0,2.201468468E0,1.684320927E0,1.048301220E1
3.396703959E0,2.375048161E0,1.567005038E0,9.443928719E0
3.406711288E0,2.546233416E0,1.237802267E0,9.153033257E0
3.416722626E0,2.701856613E0,1.114500880E0,9.058462143E0
3.426717160E0,3.110068083E0,1.143231273E0,9.587580681E0
3.436693485E0,3.594893932E0,1.388636947E0,1.018852520E1
3.446706609E0,3.606864929E0,1.583764434E0,9.562441826E0
3.456714728E0,3.466804028E0,1.470039845E0,8.945934296E0
3.466700038E0,3.463212729E0,1.238999367E0,8.597578049E0
3.476710789E0,3.353079557E0,9.409212470E-1,8.614337921E0
3.486690857E0,3.688267708E0,1.059434295E0,8.675390244E0
3.496750622E0,3.979163170E0,1.284489155E0,8.795100212E0
3.506740081E0,4.074931145E0,1.412579060E0,8.980650902E0
3.516739580E0,3.943250179E0,1.493981838E0,8.819042206E0
3.526709945E0,3.869029999E0,1.556231141E0,8.427590370E0
3.536692896E0,3.851073503E0,1.507149935E0,8.321047783E0
3.546718680E0,4.210203648E0,1.370680451E0,8.999804497E0
3.556695687E0,3.993528366E0,1.465251446E0,8.965087891E0
3.566682498E0,3.564966440E0,1.618480325E0,8.723274231E0
3.576686038E0,3.391386747E0,1.685518026E0,8.616731644E0
3.586671962E0,3.614047527E0,1.541865945E0,8.757989883E0
3.596683905E0,3.949235678E0,1.345541358E0,9.103952408E0
3.606668338E0,4.699818134E0,1.027112484E0,9.525331497E0
3.616680978E0,4.583699226E0,1.098938584E0,9.336189270E0
3.626679201E0,4.552574635E0,1.144428372E0,9.379284859E0
3.636686967E0,4.205415249E0,1.401805043E0,9.022548676E0
3.646681830E0,4.128800869E0,1.486799240E0,8.160636902E0
3.656662185E0,4.132391930E0,1.453280449E0,8.063671112E0
3.666675401E0,4.226963043E0,1.098938584E0,8.558073997E0
3.676677163E0,3.980360270E0,8.726865053E-1,8.639476776E0
3.686684948E0,3.790021181E0,1.167173386E0,8.275558472E0
3.696681879E0,3.302801132E0,1.580173135E0,8.064867973E0
3.706680729E0,3.666719913E0,1.673547029E0,8.288725853E0
