"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.966713493E0,-5.190140009E-2,6.718182564E-2,3.885259628E-1
2.976717863E0,1.119064689E-1,2.157735825E-2,2.656145096E-1
2.986718279E0,1.901181340E-1,-3.364706039E-2,2.074012756E-1
2.996733794E0,1.123766303E-1,-1.599884033E-2,9.797668457E-2
3.006707398E0,5.007529259E-2,3.036785126E-2,-1.148214340E-1
3.016694335E0,2.486169338E-2,1.018357277E-2,-3.390722275E-1
3.026684669E0,-3.075462580E-2,-9.319782257E-3,-3.535337448E-1
3.036675162E0,-1.910870373E-1,3.800415993E-2,-1.227817535E-1
3.046673294E0,-2.050061524E-1,8.815741539E-2,5.765628815E-2
3.056667590E0,-2.517650425E-1,2.475380898E-2,1.863870621E-1
3.066699431E0,-5.207073689E-2,2.147531509E-2,2.640647888E-1
3.076688543E0,4.227322340E-2,1.161241531E-2,3.282442093E-1
3.086705119E0,-3.214406967E-2,-1.169347763E-2,2.438774109E-1
3.096688849E0,2.988213301E-2,9.908199310E-3,1.594572067E-1
3.106680156E0,-5.801761150E-2,-1.001930237E-2,7.570552826E-2
3.116842367E0,-1.788840592E-1,-1.545572281E-2,-1.196098328E-2
3.126752761E0,-2.184993923E-1,-7.406902313E-2,-1.132507324E-1
3.136713882E0,-8.238601685E-2,-1.150631905E-1,-8.944320679E-2
3.146718423E0,-1.719489992E-1,6.020784378E-3,7.766723633E-2
3.156732193E0,-2.727198005E-1,1.537466049E-1,1.993570328E-1
3.166707155E0,1.052212119E-1,-1.024374962E-1,7.126979828E-1
3.176683982E0,3.774702549E-2,-1.082670689E-1,6.677083969E-1
3.186674107E0,1.107407212E-1,3.344893456E-2,1.016674042E-1
3.196701266E0,1.105933189E-1,-4.552841187E-3,-6.225204468E-2
3.206730057E0,-1.557766199E-1,6.326174736E-2,3.562355042E-2
3.216701029E0,-2.027137280E-1,1.778537035E-1,5.467605591E-2
3.226706977E0,5.063432455E-2,-2.571940422E-3,2.588653564E-2
3.236689720E0,6.908166409E-2,-1.669211388E-1,6.895256042E-2
3.246682284E0,-3.143388033E-2,-1.568003893E-1,-8.112239838E-2
3.256710355E0,1.132794023E-1,-5.444633961E-2,-1.526136398E-1
3.266724428E0,1.785227656E-1,-3.767311573E-2,-1.487283707E-1
3.276730234E0,-9.316688776E-2,-9.094119072E-3,1.645030975E-1
3.286697637E0,-2.360268831E-1,1.113668680E-1,1.265335083E-1
3.296684993E0,-4.100078344E-1,2.350126505E-1,3.635854721E-1
3.306704574E0,-2.361968160E-1,2.349478006E-1,2.683305740E-1
3.316688442E0,-1.522367597E-1,6.394386292E-2,5.343494415E-1
3.326676376E0,1.021368504E-1,-1.753985882E-2,3.387908936E-1
3.336698612E0,3.981792927E-1,-5.542707443E-2,2.442302704E-1
3.346684172E0,2.791266441E-1,-1.968181133E-1,4.013805389E-1
3.356699587E0,1.324092150E-1,-3.010531664E-1,3.669528961E-1
3.366687544E0,3.823151588E-1,-1.600110531E-1,7.286148071E-1
3.376674715E0,4.090685844E-1,-3.832364082E-2,1.385560036E0
3.386694532E0,1.729428768E-1,1.523840427E-1,1.011547089E0
3.396703959E0,1.619119644E-1,4.327523708E-2,1.256275177E-2
3.406711288E0,1.558706760E-1,-2.787421942E-1,-2.361440659E-1
3.416722626E0,1.409590244E-1,-3.932011127E-1,-2.870731354E-1
3.426717160E0,3.856098652E-1,-3.538393974E-1,2.866935730E-1
3.436693485E0,7.063653469E-1,-9.920263290E-2,9.357891083E-1
3.446706609E0,5.539488792E-1,1.016336679E-1,3.617143631E-1
3.456714728E0,2.610790730E-1,-4.758834839E-3,-2.038574219E-1
3.466700038E0,1.257803440E-1,-2.222939730E-1,-5.071763992E-1
3.476710789E0,-9.044504166E-2,-5.018047690E-1,-4.537973404E-1
3.486690857E0,1.624326706E-1,-3.678742647E-1,-3.635072708E-1
3.496750622E0,3.906803131E-1,-1.372258663E-1,-2.199935913E-1
3.506740081E0,4.373204708E-1,-1.439130306E-2,-1.389884949E-2
3.516739580E0,2.642695904E-1,5.343723297E-2,-1.564979553E-1
3.526709945E0,1.516985893E-1,9.974932671E-2,-5.295581818E-1
