"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.374022320E0,-3.082426190E-1,-1.732434273E0,1.168177947E-1
3.383979469E0,-1.695761979E-1,-1.948680520E0,7.527895272E-2
3.393936851E0,-7.367035002E-2,-2.001214981E0,8.077674359E-2
3.403920869E0,-5.534439534E-2,-1.929132819E0,9.177231789E-2
3.413938647E0,-6.633996964E-2,-1.863159418E0,9.360491484E-2
3.423924074E0,-8.222246170E-2,-1.803294539E0,8.566366136E-2
3.433943653E0,-7.000515610E-2,-1.810014129E0,6.672684103E-2
3.443917174E0,-3.824016452E-2,-1.830783486E0,5.328780785E-2
3.453902011E0,-5.167920142E-2,-1.709221363E0,6.917030364E-2
3.463895314E0,-1.097114012E-1,-1.478925109E0,9.299404919E-2
3.473889581E0,-1.549154371E-1,-1.200370550E0,1.088765413E-1
3.483887003E0,-1.231504306E-1,-9.352550507E-1,9.604837745E-2
3.493885772E0,-4.007276148E-2,-7.177869678E-1,3.374012187E-2
3.503901368E0,5.094616115E-2,-5.699576139E-1,-3.528765216E-2
3.513918146E0,1.254717112E-1,-4.856582284E-1,-7.499389350E-2
3.523911055E0,1.468520015E-1,-4.508389235E-1,-8.293513954E-2
3.534223028E0,8.576548100E-2,-4.031914175E-1,-7.560475916E-2
3.544076380E0,-1.685988158E-2,-3.714264333E-1,-5.300274119E-2
3.554012652E0,-9.566149861E-2,-4.392324686E-1,-2.490294166E-2
3.563973404E0,-1.475850493E-1,-5.033733249E-1,2.579887584E-2
3.573965914E0,-1.879021525E-1,-4.795495868E-1,8.260934055E-2
3.583919823E0,-1.982868612E-1,-4.196847975E-1,1.241481826E-1
3.593919201E0,-1.707979292E-1,-3.457700908E-1,1.327002943E-1
3.603924101E0,-1.255939007E-1,-2.669684589E-1,1.064330861E-1
3.613950051E0,-6.939429045E-2,-2.596380711E-1,5.634213611E-2
3.623927142E0,-5.253443494E-3,-2.907922268E-1,1.907935739E-2
3.633898456E0,3.933972120E-2,-3.225572109E-1,-5.355253816E-3
3.643899748E0,8.759807795E-2,-3.585982621E-1,-1.451823302E-2
3.653880606E0,1.236391291E-1,-3.573765457E-1,-2.300927415E-3
3.663889208E0,8.271115273E-2,-2.920139432E-1,-5.966119003E-3
3.673892970E0,-5.253443494E-3,-1.521258056E-1,7.533989847E-4
3.683878063E0,-7.428121567E-2,-8.859582245E-2,3.679445013E-2
3.693887378E0,-2.007303238E-1,-3.353853822E-1,1.742391288E-1
3.703895844E0,-2.599842548E-1,-4.514497817E-1,2.444886267E-1
3.713900327E0,-2.752558887E-1,-5.424686670E-1,2.609820068E-1
3.723922626E0,-2.758667469E-1,-5.418577790E-1,2.212757617E-1
